activityType,activityDescription,riskLevel,archetype,textContent,sentimentScore
driving,Commuting during rush hour,MEDIUM,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.3779
fast_food,Eating at fast food restaurant,HIGH,The Idealistic Activist,Meeting friends at cafe. Planning the next community campaign over hot drinks.,0.6380
gardening,Community garden maintenance,LOW,The Community Builder,Yoga session at home. Centering myself so I can be present for others.,0.7972
heavy_lifting,Moving boxes into building,MEDIUM,The Stoic Engineer,Running in the park. Maintaining physical systems is as important as digital ones.,0.5345
gardening,Community garden maintenance,LOW,The Stoic Engineer,Commuting during rush hour. The traffic congestion is an optimization problem waiting to be solved.,0.5974
heavy_lifting,Moving boxes into building,MEDIUM,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.4594
exercise,Yoga session at home,LOW,The Stoic Engineer,Running in the park. Maintaining physical systems is as important as digital ones.,0.5248
heavy_lifting,Moving boxes into building,MEDIUM,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.2615
socializing,Meeting friends at cafe,LOW,The Disillusioned Artist,Smoking outside building. Watching the smoke drift away into the rain. Art is transient.,0.3900
working,Focused desk work,LOW,The Ambitious Entrepreneur,Meeting friends at cafe. Networking is the real net worth. Pitching a new project.,0.5185
heavy_lifting,Moving boxes into building,MEDIUM,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.1075
driving,Commuting during rush hour,MEDIUM,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.9543
heavy_lifting,Moving boxes into building,MEDIUM,The Stoic Engineer,Commuting during rush hour. The traffic congestion is an optimization problem waiting to be solved.,0.5864
heavy_lifting,Moving boxes into building,MEDIUM,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.6453
fast_food,Eating at fast food restaurant,HIGH,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.8203
cooking,Preparing a healthy meal,LOW,The Community Builder,Preparing a healthy meal for the family. Food is love made visible.,0.7197
exercise,Running in the park,LOW,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.9252
heavy_lifting,Moving boxes into building,MEDIUM,The Idealistic Activist,"Self-directed learning. Knowledge is power. Educate, agitate, organize.",0.6429
smoking,Smoking outside building,HIGH,The Stoic Engineer,Commuting during rush hour. The traffic congestion is an optimization problem waiting to be solved.,0.5315
cycling,Cycling without helmet,MEDIUM,The Stoic Engineer,Self-directed learning on decentralized protocols. Fascinating logic.,0.7719
driving,Commuting during rush hour,MEDIUM,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.9100
fast_food,Eating at fast food restaurant,HIGH,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.8484
volunteering,Helping at local shelter,LOW,The Ambitious Entrepreneur,Self-directed learning. Staying ahead of the curve. Innovation waits for no one.,0.6254
shopping,Grocery shopping,LOW,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.8045
working,Focused desk work,LOW,The Cautious Observer,Commuting during rush hour. Always keeping an eye on the emergency exits. Better safe than sorry.,0.6935
driving,Commuting during rush hour,MEDIUM,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.5663
driving,Commuting during rush hour,MEDIUM,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.5534
driving,Commuting during rush hour,MEDIUM,The Community Builder,Volunteering at the local shelter. So proud of everyone who showed up to help today!,0.8487
working,Focused desk work,LOW,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.5879
sports,Playing basketball,MEDIUM,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.5203
gardening,Community garden maintenance,LOW,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.7896
studying,Self-directed learning,LOW,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.4479
exercise,Running in the park,LOW,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.7726
cycling,Cycling without helmet,MEDIUM,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.8850
studying,Self-directed learning,LOW,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.3885
sports,Playing basketball,MEDIUM,The Stoic Engineer,Commuting during rush hour. The traffic congestion is an optimization problem waiting to be solved.,0.5181
socializing,Meeting friends at cafe,LOW,The Cautious Observer,Focused desk work. Double-checking all project dependencies to prevent unexpected issues.,0.4616
sports,Playing basketball,MEDIUM,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.5484
fast_food,Eating at fast food restaurant,HIGH,The Community Builder,Volunteering at the local shelter. So proud of everyone who showed up to help today!,0.9606
exercise,Yoga session at home,LOW,The Stoic Engineer,Self-directed learning on decentralized protocols. Fascinating logic.,0.7572
driving,Commuting during rush hour,MEDIUM,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.9659
volunteering,Helping at local shelter,LOW,The Stoic Engineer,Running in the park. Maintaining physical systems is as important as digital ones.,0.4741
fast_food,Eating at fast food restaurant,HIGH,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.8575
smoking,Smoking outside building,HIGH,The Community Builder,"Community garden maintenance. Small seeds, big future. Let's grow together!",0.8906
fast_food,Eating at fast food restaurant,HIGH,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.8300
cycling,Cycling without helmet,MEDIUM,The Stoic Engineer,Focused desk work. Code reviews and system refactoring require complete focus.,0.5337
driving,Commuting during rush hour,MEDIUM,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.8496
driving,Commuting during rush hour,MEDIUM,The Ambitious Entrepreneur,Meeting friends at cafe. Networking is the real net worth. Pitching a new project.,0.5291
fast_food,Eating at fast food restaurant,HIGH,The Disillusioned Artist,Just a cup of black coffee and another gray morning. What are we all running towards?,0.1087
exercise,Yoga session at home,LOW,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.7859
fast_food,Eating at fast food restaurant,HIGH,The Ambitious Entrepreneur,Meeting friends at cafe. Networking is the real net worth. Pitching a new project.,0.6460
cycling,Cycling without helmet,MEDIUM,The Disillusioned Artist,"Cycling without helmet. Feeling the wind, ignoring the safety margins just to feel alive.",0.4882
heavy_lifting,Moving boxes into building,MEDIUM,The Disillusioned Artist,"Focused desk work... or rather, staring at a blank screen wondering if this is all there is.",0.3297
cooking,Preparing a healthy meal,LOW,The Stoic Engineer,Commuting during rush hour. The traffic congestion is an optimization problem waiting to be solved.,0.5436
fast_food,Eating at fast food restaurant,HIGH,The Disillusioned Artist,Meeting friends at cafe. Superficial conversations in a crowded room. Nostalgia hurts.,0.4005
smoking,Smoking outside building,HIGH,The Idealistic Activist,Running in the park. Reminds me what we are fighting to protect.,0.7607
volunteering,Helping at local shelter,LOW,The Community Builder,Yoga session at home. Centering myself so I can be present for others.,0.6684
exercise,Running in the park,LOW,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.4197
gardening,Community garden maintenance,LOW,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.5267
sports,Playing basketball,MEDIUM,The Idealistic Activist,Meeting friends at cafe. Planning the next community campaign over hot drinks.,0.5946
studying,Self-directed learning,LOW,The Stoic Engineer,Optimizing the new backend pipeline. System throughput increased by 30%.,0.8226
volunteering,Helping at local shelter,LOW,The Ambitious Entrepreneur,Meeting friends at cafe. Networking is the real net worth. Pitching a new project.,0.6548
socializing,Meeting friends at cafe,LOW,The Ambitious Entrepreneur,Self-directed learning. Staying ahead of the curve. Innovation waits for no one.,0.5729
socializing,Meeting friends at cafe,LOW,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.6004
studying,Self-directed learning,LOW,The Stoic Engineer,Optimizing the new backend pipeline. System throughput increased by 69%.,0.7563
volunteering,Helping at local shelter,LOW,The Ambitious Entrepreneur,Meeting friends at cafe. Networking is the real net worth. Pitching a new project.,0.6382
working,Focused desk work,LOW,The Stoic Engineer,Focused desk work. Code reviews and system refactoring require complete focus.,0.4738
sports,Playing basketball,MEDIUM,The Stoic Engineer,Focused desk work. Code reviews and system refactoring require complete focus.,0.5761
exercise,Running in the park,LOW,The Community Builder,Preparing a healthy meal for the family. Food is love made visible.,0.7125
fast_food,Eating at fast food restaurant,HIGH,The Idealistic Activist,"Self-directed learning. Knowledge is power. Educate, agitate, organize.",0.5700
driving,Commuting during rush hour,MEDIUM,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.4214
gardening,Community garden maintenance,LOW,The Ambitious Entrepreneur,Eating at fast food restaurant. Quick fuel. Speed is more valuable than standard pacing right now.,0.5030
working,Focused desk work,LOW,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.3164
